item_canonical,canonical_norm,item_id_propose,label_fr_propose,item_code,taxo_l1,taxo_l3,score,confiance,nb_lignes,prix_moyen,annees,valider_oui_non
Diluant,diluant,diluant,Diluant,LG-202603-000549,Construction,Diluant,1.0,AUTO,13,2589.6923076923076,2024-2026,OUI
"Eau Era 0,33 litre",eau era,eau_era,Eau Era,LG-202603-000563,Plomberie et eau,Eau,1.0,AUTO,13,3678.846153846154,2026-2026,OUI
"Eau Sanya 0,33 litre",eau sanya,eau_sanya,Eau Sanya,LG-202603-000587,,,1.0,AUTO,13,3543.923076923077,2026-2026,OUI
Engrais NPK ( 14-18-18) complexe coton,engrais npk complexe coton,engrais_npk_14-18-18_complexe_coton,Engrais NPK ( 14-18-18) complexe coton,LG-202603-000618,Agriculture,Engrais,1.0,AUTO,13,29866.23076923077,2023-2026,OUI
"Feutre pour transparent mine fine 
(lavable perm,)",feutre transparent mine fine,"feutre_transparent_mine_fine_lavable_perm,","Feutre pour transparent mine fine 
(lavable perm,)",LG-202603-000691,Fournitures bureau,Feutre,1.0,AUTO,13,6147.2307692307695,2023-2024,OUI
Graviers 5/20,graviers,graviers_5_20,Graviers 5/20,LG-202603-000800,Construction,Gravier,1.0,AUTO,13,126274.30769230769,2024-2026,OUI
Gravillon 0/4,gravillon,gravillon_0_4,Gravillon 0/4,LG-202603-000803,Construction,Gravillon,1.0,AUTO,13,59958.38461538462,2023-2026,OUI
Gravillon 4/6,gravillon,gravillon_0_4,Gravillon 0/4,LG-202603-000803,Construction,Gravillon,1.0,AUTO,13,105289.69230769231,2023-2026,OUI
Lait Belle Hollandaise boîte de 2.500kg,lait belle hollandaise boîte,lait_belle_hollandaise_boite_2.500kg,Lait Belle Hollandaise boîte de 2.500kg,LG-202603-000914,Alimentation,Lait,1.0,AUTO,13,96432.0,2026-2026,OUI
Papier Listing Blanc 1 Ex Zone,papier listing blanc zone,papier_listing_blanc_1_ex_zone,Papier Listing Blanc 1 Ex Zone,LG-202603-001082,Fournitures bureau,Papier,1.0,AUTO,13,55092.692307692305,2023-2026,OUI
Papier Millimètré A0,papier millimètré,papier_millimetre_a0,Papier Millimètré A0,LG-202603-001083,Alimentation,Mil,1.0,AUTO,13,14262.538461538463,2023-2026,OUI
"Paquet fil TH rouleau de 100m Câble Diallo1,5-2,5",paquet fil rouleau câble diallo,paquet_fil_th_rouleau_100m_cable_diallo_1.5-2.5,"Paquet fil TH rouleau de 100m Câble Diallo 1,5-2,5",LG-202603-001096,Electricite,Cable,1.0,AUTO,13,42301.230769230766,2026-2026,OUI
Percale rouleau de 200 mètres,percale rouleau mètres,percale_rouleau_100_metres,Percale rouleau de 100 mètres,LG-202603-001132,Plastiques et emballages,Rouleau,1.0,AUTO,13,110112.15384615384,2023-2026,OUI
Petit Oignon,petit oignon,petit_oignon,Petit Oignon,LG-202603-001135,,,1.0,AUTO,13,789.0769230769231,2026-2026,OUI
Pétrole,pétrole,petrole,Pétrole,LG-202603-001140,,,1.0,AUTO,13,923.9230769230769,2023-2026,OUI
Potasse,potasse,potasse,Potasse,LG-202603-001194,Art de la table,Tasse,1.0,AUTO,13,32215.384615384613,2023-2026,OUI
Potasse traditionnelle(kg),potasse traditionnelle,potasse_traditionnelle_kg,Potasse traditionnelle(kg),LG-202603-001195,Art de la table,Tasse,1.0,AUTO,13,1776.3076923076924,2024-2026,OUI
Tissu Double Rideaux (M),tissu double rideaux,tissu_double_rideaux_m,Tissu Double Rideaux (M),LG-202603-001376,Textile,Tissu,1.0,AUTO,13,7125.0,2023-2026,OUI
Baguette enrobée,baguette enrobée,baguette_enrobee,Baguette enrobée,LG-202603-000086,Divers,Baguette,1.0,AUTO,12,6958.333333333333,2023-2023,OUI
Biscuit fourre au lait 175 grammes,biscuit fourre lait grammes,biscuit_fourre_lait_150_grammes,Biscuit fourre au lait 150 grammes,LG-202603-000132,Alimentation,Lait,1.0,AUTO,12,22266.916666666668,2023-2024,OUI
Biscuit Salé &lt;&lt;Langue de chat&gt;&gt;,biscuit salé langue chat,biscuit_sale_&lt_&lt_langue_chat&gt_&gt,Biscuit Salé &lt;&lt;Langue de chat&gt;&gt;,LG-202603-000141,Alimentation,Biscuits,1.0,AUTO,12,31146.166666666668,2026-2026,OUI
Biscuits > au framboise,biscuits framboise,biscuits_>_framboise,Biscuits > au framboise,LG-202603-000161,Alimentation,Biscuits,1.0,AUTO,12,19810.416666666668,2023-2024,OUI
Bloc éphéméride (recharge),bloc éphéméride,bloc_ephemeride_recharge,Bloc éphéméride (recharge),LG-202603-000170,Telecom,Recharge,1.0,AUTO,12,33454.833333333336,2023-2024,OUI
Boîte d'alimentation ordinateur,boîte alimentation ordinateur,boite_alimentation_ordinateur,Boîte d'alimentation ordinateur,LG-202603-000204,Informatique,Ordinateur,1.0,AUTO,12,18875.666666666668,2023-2024,OUI
Café moulu (200gr),café moulu,cafe_moulu_200gr,Café Moulu (200gr),LG-202603-000269,Alimentation,Cafe,1.0,AUTO,12,30448.75,2023-2024,OUI
Café Nespresso n°18 53grammes,café nespresso grammes,cafe_nespresso_n°_17_53grammes,Café Nespresso n° 17 53grammes,LG-202603-000272,Alimentation,Cafe,1.0,AUTO,12,51762.166666666664,2026-2026,OUI
Café Nespresso n°19 53grammes,café nespresso grammes,cafe_nespresso_n°_17_53grammes,Café Nespresso n° 17 53grammes,LG-202603-000272,Alimentation,Cafe,1.0,AUTO,12,51824.0,2026-2026,OUI
Café Nespresso n°20 53grammes,café nespresso grammes,cafe_nespresso_n°_17_53grammes,Café Nespresso n° 17 53grammes,LG-202603-000272,Alimentation,Cafe,1.0,AUTO,12,52516.666666666664,2026-2026,OUI
"Cahier de 32 pages (ajouter le nbre par 
paquet)",cahier pages,cahier_300_pages,Cahier 300 pages,LG-202603-000297,Fournitures bureau,Cahier,1.0,AUTO,12,2436.0,2023-2023,OUI
Camion 10m3,camion,camion,Camion,LG-202603-000311,Transport et vehicules,Camion,1.0,AUTO,12,121750.0,2026-2026,OUI
Chaussette pour footballeur (Bas),chaussette footballeur,chaussette_footballeur_bas,Chaussette pour footballeur (Bas),LG-202603-000351,Textile,Chaussette,1.0,AUTO,12,2569.0833333333335,2023-2024,OUI
Compact français 400 amp,compact français amp,compact_francais_400_amp,Compact français 400 amp,LG-202603-000428,Divers,Compact,1.0,AUTO,12,251366.66666666666,2023-2026,OUI
Coquillettes 250 grammes lot de 4,coquillettes grammes,coquillettes_250_grammes,Coquillettes 250 grammes,LG-202603-000464,Alimentation,Pates,1.0,AUTO,12,7836.583333333333,2024-2026,OUI
"Eau Evian 0,5 litre",eau evian,eau_evian,Eau Evian,LG-202603-000565,Plomberie et eau,Eau,1.0,AUTO,12,15888.916666666668,2026-2026,OUI
"Eau rock vert 0,5 Litre",eau rock vert,eau_rock_vert,Eau rock vert,LG-202603-000585,Plomberie et eau,Eau,1.0,AUTO,12,5492.0,2026-2026,OUI
Entretien de la Cours,entretien cours,entretien_cours,Entretien de la Cours,LG-202603-000632,Services,Entretien,1.0,AUTO,12,33888.916666666664,2026-2026,OUI
"Enveloppe blanche 4,5x9 (80gsm) 
paquets de 25",enveloppe blanche paquets,enveloppe_blanche_4.5x9_80gsm_paquets_25,"Enveloppe blanche 4,5x9 (80gsm) 
paquets de 25",LG-202603-000639,Fournitures bureau,Enveloppe,1.0,AUTO,12,14534.75,2023-2024,OUI
Fer carré 06 (barre de 12 m),fer carré,fer_carre_06_barre_12_m,Fer carré 06 (barre de 12 m),LG-202603-000662,Divers,Barre,1.0,AUTO,12,7252.75,2026-2026,OUI
Fermeture éclaire,fermeture éclaire,fermeture_eclaire,Fermeture éclaire,LG-202603-000676,,,1.0,AUTO,12,2414.6666666666665,2023-2026,OUI
"Feutre pour transparent mine fine (lavableperm,)",feutre transparent mine fine,"feutre_transparent_mine_fine_lavable_perm,","Feutre pour transparent mine fine 
(lavable perm,)",LG-202603-000691,Fournitures bureau,Feutre,1.0,AUTO,12,5705.833333333333,2026-2026,OUI
Fil à coudre (bobine),fil coudre,fil_coudre_bobine,Fil à coudre (bobine),LG-202603-000701,Textile,Fil,1.0,AUTO,12,2611.9166666666665,2023-2026,OUI
Fonio décortiqué kg,fonio décortiqué,fonio_decortique,Fonio décortiqué,LG-202603-000712,Alimentation,Fonio,1.0,AUTO,12,1137.5833333333333,2023-2023,OUI
Gants pour gardien (football),gants gardien,gants_gardien_football,Gants pour gardien (football),LG-202603-000756,Sante et hygiene,Gants,1.0,AUTO,12,12354.083333333332,2023-2024,OUI
Gants pour Teinture,gants teinture,gants_teinture,Gants pour Teinture,LG-202603-000778,Sante et hygiene,Gants,1.0,AUTO,12,6899.333333333333,2023-2024,OUI
grammes,grammes,grammes,grammes,LG-202603-000793,Divers,Grammes,1.0,AUTO,12,9029.583333333334,2023-2024,OUI
Gravier du fleuve ( Voyage Bachee),gravier fleuve,gravier_fleuve,Gravier du fleuve,LG-202603-000798,Construction,Gravier,1.0,AUTO,12,33523.583333333336,2023-2023,OUI
Graviers produit traditionnellement,graviers produit traditionnellement,graviers_produit_traditionnellement,Graviers produit traditionnellement,LG-202603-000801,Construction,Gravier,1.0,AUTO,12,42823.666666666664,2023-2023,OUI
Gravillon 10/14,gravillon,gravillon_0_4,Gravillon 0/4,LG-202603-000803,Construction,Gravillon,1.0,AUTO,12,117868.08333333333,2023-2026,OUI
Huile Boite de Vitesse,huile vitesse,huile_boite_vitesse,Huile Boite de Vitesse,LG-202603-000823,Alimentation,Huile,1.0,AUTO,12,7463.916666666667,2023-2024,OUI
Jus Bugumu,jus bugumu,jus_bugumu,Jus Bugumu,LG-202603-000883,Alimentation,Jus,1.0,AUTO,12,12538.916666666668,2024-2026,OUI
Lait président entier,lait président entier,lait_president_entier,Lait président entier,LG-202603-000958,Alimentation,Lait,1.0,AUTO,12,19337.5,2026-2026,OUI
Mayonnaise BAMA (500ml),mayonnaise bama,mayonnaise_bama_1000ml,Mayonnaise BAMA (1000ml),LG-202603-001002,Alimentation,Mayonnaise,1.0,AUTO,12,24806.25,2023-2023,OUI
Moutarde de Dijon étiquette rouge 370,moutarde dijon étiquette rouge,moutarde_dijon_etiquette_rouge_370,Moutarde de Dijon étiquette rouge 370,LG-202603-001039,Fournitures bureau,Etiquette,1.0,AUTO,12,9859.666666666666,2026-2026,OUI
Multimètres A4,multimètres,multimetres,Multimètres,LG-202603-001041,,,1.0,AUTO,12,6982.666666666667,2023-2024,OUI
Prise de courant 2x16A +T(M) avec detrompeur,prise courant detrompeur,prise_2x16a_+t_m_detrompeur,Prise de courant 2x16A +T(M) avec detrompeur,LG-202603-001201,,,1.0,AUTO,12,15927.083333333332,2023-2026,OUI
Recharge de gaz climatiseur (y comprisle prix du gaz),recharge gaz climatiseur,recharge_gaz_climatiseur_y_compris_prix_gaz,"Recharge de gaz climatiseur (y compris le prix 
du gaz)",LG-202603-001211,Telecom,Recharge,1.0,AUTO,12,18534.75,2026-2026,OUI
Sable du fleuve (voyage Bachee),sable fleuve,sable_fleuve_7m3,Sable du fleuve (7m3),LG-202603-001252,Construction,Sable,1.0,AUTO,12,27684.0,2023-2023,OUI
Scie circulaire pour machine,scie circulaire machine,scie_circulaire_machine,Scie circulaire pour machine,LG-202603-001274,Construction,Scie,1.0,AUTO,12,38248.0,2024-2026,OUI
Scoch transparent,scoch transparent,scoch_transparent,Scoch transparent,LG-202603-001275,,,1.0,AUTO,12,32682.666666666668,2026-2026,OUI
Sous-chemise,sous chemise,chemise_sous-chemise,Chemise de sous-chemise,LG-202603-000371,Textile,Chemise,1.0,AUTO,12,7035.666666666667,2023-2024,OUI
Tasse de Thé,tasse thé,tasse_the,Tasse de Thé,LG-202603-001333,Art de la table,Tasse,1.0,AUTO,12,14799.333333333332,2023-2023,OUI
Vidange,vidange,vidange,Vidange,LG-202603-001449,Transport et vehicules,Vidange,1.0,AUTO,12,38622.916666666664,2023-2024,OUI
Biscuits &lt;&lt;Tiffany butter cookier&gt;&gt;,biscuits tiffany butter cookier,biscuits_&lt_&lt_tiffany_butter_cookier&gt_&gt,Biscuits &lt;&lt;Tiffany butter cookier&gt;&gt;,LG-202603-000154,Alimentation,Biscuits,1.0,AUTO,11,23254.545454545456,2026-2026,OUI
Bloc note gf (120 unité),bloc note,bloc_note_gf,Bloc note GF,LG-202603-000172,Fournitures bureau,Bloc notes,1.0,AUTO,11,66351.54545454546,2023-2023,OUI
Câble de puissance 4x95 mm²,câble puissance,cable_puissance_4x95_mm2,Câble de puissance 4x95 mm2,LG-202603-000245,Electricite,Cable,1.0,AUTO,11,99181.81818181818,2026-2026,OUI
Cache nez lavable,cache nez lavable,cache_nez_lavable,Cache nez lavable,LG-202603-000261,Sante et hygiene,Cache-nez,1.0,AUTO,11,5924.272727272727,2023-2024,OUI
carreau 60/60cm,carreau,carreau_30x60,Carreau 30x60,LG-202603-000321,Construction,Carreau,1.0,AUTO,11,10005.363636363636,2023-2023,OUI
carreaux de ciment 120/60,carreaux ciment,carreaux_ciment_120_60,carreaux de ciment 120/60,LG-202603-000337,Construction,Ciment,1.0,AUTO,11,6017.545454545455,2023-2023,OUI
Chaussette en synthétique,chaussette synthétique,chaussette_synthetique,Chaussette en synthétique,LG-202603-000352,Textile,Chaussette,1.0,AUTO,11,4272.0,2023-2024,OUI
Compas ordinaire,compas ordinaire,compas,Compas ordinaire,LG-202603-000435,Fournitures bureau,Compas,1.0,AUTO,11,709.0909090909091,2023-2023,OUI
Couverture dure,couverture dure,couverture_dure,Couverture dure,LG-202603-000517,Art de la table,Couverts,1.0,AUTO,11,4034.818181818182,2023-2023,OUI
"Eau Pure 0,33 litre",eau pure,eau_pure,Eau Pure,LG-202603-000583,Plomberie et eau,Eau,1.0,AUTO,11,4033.2727272727275,2026-2026,OUI
Encre Q 6002 A,encre,encre_q_6002,Encre Q 6002 A,LG-202603-000607,Fournitures bureau,Encre,1.0,AUTO,11,45791.63636363637,2023-2026,OUI
Entretien de Bureau,entretien bureau,entretien_bureau,Entretien de Bureau,LG-202603-000630,Mobilier,Bureau,1.0,AUTO,11,40075.818181818184,2026-2026,OUI
Fer carré 08 (barre de 12 m),fer carré,fer_carre_06_barre_12_m,Fer carré 06 (barre de 12 m),LG-202603-000662,Divers,Barre,1.0,AUTO,11,6043.909090909091,2026-2026,OUI
Ficelle en plastique,ficelle plastique,ficelle_plastique,Ficelle en plastique,LG-202603-000694,Plastiques et emballages,Plastique,1.0,AUTO,11,2693.6363636363635,2026-2026,OUI
Fiche de Matériel en Approvisionnement,fiche matériel approvisionnement,fiche_materiel_approvisionnement,Fiche de Matériel en Approvisionnement,LG-202603-000697,,,1.0,AUTO,11,7667.272727272727,2026-2026,OUI
Gant de marteau,gant marteau,gant_marteau,Gant de marteau,LG-202603-000748,Sante et hygiene,Gants,1.0,AUTO,11,7537.909090909091,2023-2024,OUI
Gomme (encre et crayon) Penguinplastique ERASSER,gomme penguinplastique erasser,gomme_encre_crayon_penguinplastique_erasser,Gomme (encre et crayon) Penguinplastique ERASSER,LG-202603-000787,Fournitures bureau,Encre,1.0,AUTO,11,3180.0,2026-2026,OUI
Lait Belle Hollandaise boîte de 900,lait belle hollandaise boîte,lait_belle_hollandaise_boite_2.500kg,Lait Belle Hollandaise boîte de 2.500kg,LG-202603-000914,Alimentation,Lait,1.0,AUTO,11,79676.72727272728,2026-2026,OUI
Moellon,moellon,moellon,Moellon,LG-202603-001028,,,1.0,AUTO,11,52651.545454545456,2023-2023,OUI
Ozalid (rouleau),ozalid,ozalid_rouleau,Ozalid (rouleau),LG-202603-001065,Plastiques et emballages,Rouleau,1.0,AUTO,11,15185.545454545456,2023-2026,OUI
Pantalons chemises imperméable,pantalons chemises imperméable,pantalons_chemises_impermeable,Pantalons chemises imperméable,LG-202603-001066,Textile,Chemise,1.0,AUTO,11,9710.181818181818,2023-2024,OUI
Papier bristol,papier bristol,papier_bristol,Papier bristol,LG-202603-001071,Fournitures bureau,Papier,1.0,AUTO,11,22375.727272727272,2024-2026,OUI
Papiers rame 80 g,papiers rame,papiers_rame_80g,Papiers rame 80 g,LG-202603-001092,Fournitures bureau,Papier,1.0,AUTO,11,24222.363636363636,2023-2023,OUI
PaxalumIn en rouleau (étancheïté) Epaisseur30 mm,paxalumin rouleau epaisseur,paxalumin_rouleau_etancheite_epaisseur_30mm,PaxalumIn en rouleau (étancheïté) Epaisseur 30 mm,LG-202603-001109,Plastiques et emballages,Rouleau,1.0,AUTO,11,36015.181818181816,2026-2026,OUI
Protège bras (Taekwondo),protège bras,protege_bras_taekwondo,Protège bras (Taekwondo),LG-202603-001204,,,1.0,AUTO,11,8107.636363636364,2023-2024,OUI
Recharge de gaz climatiseur (y comprisle prix du gaz) avec déplacement,recharge gaz climatiseur déplacement,recharge_gaz_climatiseur_y_compris_prix_gaz_deplacement,"Recharge de gaz climatiseur (y compris le prix 
du gaz) avec déplacement",LG-202603-001212,Telecom,Recharge,1.0,AUTO,11,21738.636363636364,2026-2026,OUI
Réparation complète avec rechargeclimatiseur,réparation complète rechargeclimatiseur,reparation_complete_recharge_climatiseur,"Réparation complète avec recharge 
climatiseur",LG-202603-001216,Telecom,Recharge,1.0,AUTO,11,24530.272727272728,2026-2026,OUI
Sachets plastiques,sachets plastiques,sachets_plastiques,Sachets plastiques,LG-202603-001260,Plastiques et emballages,Sac,1.0,AUTO,11,1416.2727272727273,2023-2023,OUI
Stencil ordinaire,stencil ordinaire,stencil,Stencil ordinaire,LG-202603-001303,,,1.0,AUTO,11,9814.363636363636,2023-2026,OUI
Tapis de sol 4m x 4m,tapis sol,tapis_sol_4m_x_4m,Tapis de sol 4m x 4m,LG-202603-001325,,,1.0,AUTO,11,4666.727272727273,2023-2024,OUI
Tasse moyenne émaillée,tasse moyenne émaillée,tasse_moyenne_emaillee,Tasse moyenne émaillée,LG-202603-001330,Art de la table,Tasse,1.0,AUTO,11,18618.636363636364,2023-2023,OUI
Thé China green tea (duné qualité diament),thé china green tea,the_china_green_tea_dune_diament,Thé China green tea (duné qualité diament),LG-202603-001349,,,1.0,AUTO,11,17895.454545454544,2026-2026,OUI
Tissu blanc popeline,tissu blanc popeline,tissu_blanc_popeline,Tissu blanc popeline,LG-202603-001368,Textile,Tissu,1.0,AUTO,11,45863.72727272727,2023-2023,OUI
Tissu bleu popeline,tissu bleu popeline,tissu_bleu_popeline,Tissu bleu popeline,LG-202603-001370,Textile,Tissu,1.0,AUTO,11,42257.63636363637,2023-2023,OUI
Tissu satin rouleau de 100 mètres,tissu satin rouleau mètres,tissu_satin_rouleau_100_metres,Tissu satin rouleau de 100 mètres,LG-202603-001386,Textile,Tissu,1.0,AUTO,11,154757.63636363635,2023-2024,OUI
Tissu Wax,tissu wax,tissu_wax,Tissu Wax,LG-202603-001392,Textile,Tissu,1.0,AUTO,11,5376.272727272727,2023-2023,OUI
Bazin riche,bazin riche,bazin_riche,Bazin riche,LG-202603-000110,Textile,Bazin,1.0,AUTO,10,7575.1,2024-2026,OUI
Biscuits &lt;&lt;Fourrés au chocolat&gt;&gt; 330 grammes combien,biscuits fourrés chocolat grammes combien,biscuits_&lt_&lt_fourres_chocolat&gt_&gt_330_grammes_combien,Biscuits &lt;&lt;Fourrés au chocolat&gt;&gt; 330 grammes combien,LG-202603-000147,Alimentation,Biscuits,1.0,AUTO,10,33934.0,2026-2026,OUI
Biscuits salés assortiment,biscuits salés assortiment,biscuits_sales_assortiment,Biscuits salés assortiment,LG-202603-000165,Alimentation,Biscuits,1.0,AUTO,10,17518.4,2023-2023,OUI
Bloc notes gf (100 unités),bloc notes,bloc_notes_gf_100_unites,Bloc notes gf (100 unités),LG-202603-000176,Fournitures bureau,Bloc notes,1.0,AUTO,10,39283.4,2023-2023,OUI
Boudins de reliure de diamètre 19,boudins reliure diamètre,boudins_reliure_diametre_12,Boudins de reliure de diamètre 12,LG-202603-000211,Fournitures bureau,Reliure,1.0,AUTO,10,17056.7,2023-2024,OUI
Chevillères (hand-ball),chevillères,chevilleres_hand-ball,Chevillères (hand-ball),LG-202603-000377,Sport,Chevillere,1.0,AUTO,10,7117.5,2023-2024,OUI
"Confection de tenue Homme (Frais de 
couture costume)",confection tenue homme,confection_tenue_homme_frais_couture_costume,"Confection de tenue Homme (Frais de 
couture costume)",LG-202603-000454,Textile,Confection,1.0,AUTO,10,28188.7,2023-2024,OUI
Confection de tenue Homme Manche longue (Frais de couture costume),confection tenue homme manche longue,confection_tenue_homme_manche_longue_frais_couture_costume,Confection de tenue Homme Manche longue (Frais de couture costume),LG-202603-000456,Textile,Confection,1.0,AUTO,10,22308.3,2026-2026,OUI
Correcteur Blanc avec diluant blancRetype,correcteur blanc diluant blancretype,correcteur_blanc_diluant_blancretype,Correcteur Blanc avec diluant blancRetype,LG-202603-000491,Construction,Diluant,1.0,AUTO,10,840.5,2026-2026,OUI
Croquette &lt;&lt;Cacahuète-Noix d'amende&gt;&gt;,croquette cacahuète noix amende,croquette_&lt_&lt_cacahuete-noix_amende&gt_&gt,Croquette &lt;&lt;Cacahuète-Noix d'amende&gt;&gt;,LG-202603-000527,Alimentation,Pates,1.0,AUTO,10,1468.0,2026-2026,OUI
"Enveloppe blanche 4,5x9 (80gsm)paquets de 25",enveloppe blanche paquets,enveloppe_blanche_4.5x9_80gsm_paquets_25,"Enveloppe blanche 4,5x9 (80gsm) 
paquets de 25",LG-202603-000639,Fournitures bureau,Enveloppe,1.0,AUTO,10,6303.4,2026-2026,OUI
Enveloppe blanches pf 22 x 11 blanche,enveloppe blanches blanche,enveloppe_blanches_mf50,Enveloppe blanches mf50,LG-202603-000640,Fournitures bureau,Enveloppe,1.0,AUTO,10,8340.0,2026-2026,OUI
Gant en cuir,gant cuir,gant_cuir,Gant en cuir,LG-202603-000740,Sante et hygiene,Gants,1.0,AUTO,10,13981.7,2023-2024,OUI
"Gomme (encre et crayon) Penguin 
plastique ERASSER",gomme penguin plastique erasser,gomme_encre_crayon_penguin_plastique_erasser,"Gomme (encre et crayon) Penguin 
plastique ERASSER",LG-202603-000786,Fournitures bureau,Encre,1.0,AUTO,10,2013.3,2023-2024,OUI
Huile Moteur Accor,huile moteur accor,huile_moteur_accor,Huile Moteur Accor,LG-202603-000835,Alimentation,Huile,1.0,AUTO,10,10840.8,2023-2024,OUI
Installation et configuration du système Windows,installation configuration système windows,installation_configuration_systeme_windows,Installation et configuration du système Windows,LG-202603-000854,Informatique,Installation,1.0,AUTO,10,19325.0,2023-2026,OUI
Journal Nouvel Horizon,journal nouvel horizon,abonnement_journal_nouvel_horizon,Abonnement au journal Nouvel Horizon,LG-202603-000013,Alimentation,Riz,1.0,AUTO,10,72944.4,2026-2026,OUI
Kimono King FU (taille moyenne),kimono king,kimono_king_fu_taille_moyenne,Kimono King FU (taille moyenne),LG-202603-000905,Textile,Kimono,1.0,AUTO,10,12212.6,2023-2023,OUI
Lait Belle Hollandaise boîte de 450,lait belle hollandaise boîte,lait_belle_hollandaise_boite_2.500kg,Lait Belle Hollandaise boîte de 2.500kg,LG-202603-000914,Alimentation,Lait,1.0,AUTO,10,35264.8,2026-2026,OUI
Lait Gali PF,lait gali,lait_gali,Lait Gali,LG-202603-000927,Alimentation,Lait,1.0,AUTO,10,62766.7,2026-2026,OUI
Marqueur toute couleurs,marqueur toute couleurs,marqueur_toute_couleurs,Marqueur toute couleurs,LG-202603-000999,Fournitures bureau,Marqueur,1.0,AUTO,10,5418.4,2023-2023,OUI
"Nettoyage graissage lubrification (Petite 
voiture)",nettoyage graissage lubrification,nettoyage_graissage_lubrification_petite_voiture,"Nettoyage graissage lubrification (Petite 
voiture)",LG-202603-001052,Sante et hygiene,Nettoyage,1.0,AUTO,10,14430.0,2023-2024,OUI
"Nettoyage graissage lubrification (véhicule 
4x4)",nettoyage graissage lubrification,nettoyage_graissage_lubrification_petite_voiture,"Nettoyage graissage lubrification (Petite 
voiture)",LG-202603-001052,Sante et hygiene,Nettoyage,1.0,AUTO,10,25013.4,2023-2024,OUI
"Paquet fil TH rouleau de 100m Câble Diallo 1,5-2,5",paquet fil rouleau câble diallo,paquet_fil_th_rouleau_100m_cable_diallo_1.5-2.5,"Paquet fil TH rouleau de 100m Câble Diallo 1,5-2,5",LG-202603-001096,Electricite,Cable,1.0,AUTO,10,34137.5,2023-2026,OUI
Pelle mecanique hydraulique,pelle mecanique hydraulique,pelle_mecanique_hydraulique,Pelle mecanique hydraulique,LG-202603-001123,Construction,Pelle,1.0,AUTO,10,390988.3,2026-2026,OUI
Pelottes de cordeaux pour fil à plomb de100m,pelottes cordeaux fil plomb,pelottes_cordeaux_fil_plomb,Pelottes de cordeaux pour fil à plomb,LG-202603-001126,Textile,Fil,1.0,AUTO,10,3338.3,2026-2026,OUI
Pétanque (boule),pétanque,petanque_boule,Pétanque (boule),LG-202603-001134,,,1.0,AUTO,10,10696.7,2023-2026,OUI
Protège tibia (Taekwondo),protège tibia,protege_tibia_taekwondo,Protège tibia (Taekwondo),LG-202603-001205,,,1.0,AUTO,10,9235.8,2023-2024,OUI
"Réparation complète avec recharge 
climatiseur",réparation complète recharge climatiseur,reparation_complete_recharge_climatiseur,"Réparation complète avec recharge 
climatiseur",LG-202603-001216,Telecom,Recharge,1.0,AUTO,10,24438.4,2023-2024,OUI
Réparation complète avec rechargeclimatiseur avec les petites pièces àrecharger,réparation complète rechargeclimatiseur petites pièces àrecharger,reparation_complete_rechargeclimatiseur_petites_pieces_arecharger,Réparation complète avec rechargeclimatiseur avec les petites pièces àrecharger,LG-202603-001219,Telecom,Recharge,1.0,AUTO,10,32208.4,2026-2026,OUI
Soulier en peau croco,soulier peau croco,soulier_peau_croco,Soulier en peau croco,LG-202603-001292,Textile,Soulier,1.0,AUTO,10,25990.0,2023-2024,OUI
Tambour NP 6216 et NP 6235,tambour,tambour_np_6216,Tambour NP 6216,LG-202603-001319,,,1.0,AUTO,10,74666.7,2023-2023,OUI
Teinture Bazin getsner (Frais),teinture bazin getsner,teinture_bazin_getsner_frais,Teinture Bazin getsner (Frais),LG-202603-001336,Textile,Bazin,1.0,AUTO,10,12033.4,2026-2026,OUI
Teinture Bazin riche (Frais),teinture bazin riche,teinture_bazin_riche_frais,Teinture Bazin riche (Frais),LG-202603-001337,Textile,Bazin,1.0,AUTO,10,11916.7,2026-2026,OUI
Tissu d'ameublement Pour 4 Fauteuils,tissu ameublement fauteuils,tissu_ameublement_4_fauteuils,Tissu d'ameublement Pour 4 Fauteuils,LG-202603-001365,Textile,Tissu,1.0,AUTO,10,4985.7,2023-2024,OUI
Tissu Wax Hitarget,tissu wax hitarget,tissu_wax_hitarget,Tissu Wax Hitarget,LG-202603-001393,Textile,Tissu,1.0,AUTO,10,7163.4,2024-2026,OUI
Tissu Wax hollandais,tissu wax hollandais,tissu_wax_hollandais,Tissu Wax hollandais,LG-202603-001394,Textile,Tissu,1.0,AUTO,10,9393.3,2024-2026,OUI
Vis à tête ronde M6x50,vis tête ronde,vis_tete_ronde_m6x45,Vis à tête ronde M6x45,LG-202603-001467,,,1.0,AUTO,10,1577.2,2023-2023,OUI
Vis à tête ronde M6x60 ( paquets),vis tête ronde,vis_tete_ronde_m6x45,Vis à tête ronde M6x45,LG-202603-001467,,,1.0,AUTO,10,1828.8,2023-2023,OUI
"Acide chloyet tech 33 à 35°, 6 colorants",acide chloyet tech colorants,"acide_chloyet_tech_33_35°,_6_colorants","Acide chloyet tech 33 à 35°, 6 colorants",LG-202603-000021,Divers,Acide,1.0,AUTO,9,850.8888888888889,2023-2023,OUI
Bayon liquide,bayon liquide,bayon_liquide,Bayon liquide,LG-202603-000107,Divers,Liquide,1.0,AUTO,9,1211.2222222222222,2023-2023,OUI
